As of date,As of time,Areas,Number of cases,Number of deaths
26/02/2020,23:59,Dongguan,97,1
26/02/2020,23:59,Zhongshan,66,0
26/02/2020,23:59,Yangjiang,14,0
26/02/2020,23:59,Zhanjiang,22,0
26/02/2020,23:59,Zhaoqing,19,1
26/02/2020,23:59,Qingyuan,12,0
26/02/2020,23:59,Jieyang,8,0
26/02/2020,23:59,Heyuan,4,0
26/02/2020,23:59,Jiangmen,23,0
26/02/2020,23:59,Maoming,14,0
26/02/2020,23:59,Chaozhou,5,0
27/02/2020,23:59,Guangzhou,346,1
27/02/2020,23:59,Shenzhen,417,3
27/02/2020,23:59,Zhuhai,98,1
27/02/2020,23:59,Shantou,25,0
27/02/2020,23:59,Foshan,84,0
27/02/2020,23:59,Shaoguan,10,0
27/02/2020,23:59,Meizhou,16,0
27/02/2020,23:59,Huizhou,62,0
27/02/2020,23:59,Shanwei,5,0
27/02/2020,23:59,Dongguan,98,1
27/02/2020,23:59,Zhongshan,66,0
27/02/2020,23:59,Yangjiang,14,0
27/02/2020,23:59,Zhanjiang,22,0
27/02/2020,23:59,Zhaoqing,19,1
27/02/2020,23:59,Qingyuan,12,0
27/02/2020,23:59,Jieyang,8,0
27/02/2020,23:59,Heyuan,4,0
27/02/2020,23:59,Jiangmen,23,0
27/02/2020,23:59,Maoming,14,0
27/02/2020,23:59,Chaozhou,5,0
28/02/2020,23:59,Guangzhou,346,1
28/02/2020,23:59,Shenzhen,417,3
28/02/2020,23:59,Zhuhai,98,1
28/02/2020,23:59,Shantou,25,0
28/02/2020,23:59,Foshan,84,0
28/02/2020,23:59,Shaoguan,10,0
28/02/2020,23:59,Meizhou,16,0
28/02/2020,23:59,Huizhou,62,0
28/02/2020,23:59,Shanwei,5,0
28/02/2020,23:59,Dongguan,99,1
28/02/2020,23:59,Zhongshan,66,0
28/02/2020,23:59,Yangjiang,14,0
28/02/2020,23:59,Zhanjiang,22,0
28/02/2020,23:59,Zhaoqing,19,1
28/02/2020,23:59,Qingyuan,12,0
28/02/2020,23:59,Jieyang,8,0
28/02/2020,23:59,Heyuan,4,0
28/02/2020,23:59,Jiangmen,23,0
28/02/2020,23:59,Maoming,14,0
28/02/2020,23:59,Chaozhou,5,0
29/02/2020,23:59,Guangzhou,346,1
29/02/2020,23:59,Shenzhen,417,3
29/02/2020,23:59,Zhuhai,98,1
29/02/2020,23:59,Shantou,25,0
29/02/2020,23:59,Foshan,84,0
29/02/2020,23:59,Shaoguan,10,0
29/02/2020,23:59,Meizhou,16,0
29/02/2020,23:59,Huizhou,62,0
29/02/2020,23:59,Shanwei,5,0
29/02/2020,23:59,Dongguan,99,1
29/02/2020,23:59,Zhongshan,66,0
29/02/2020,23:59,Yangjiang,14,0
29/02/2020,23:59,Zhanjiang,22,0
29/02/2020,23:59,Zhaoqing,19,1
29/02/2020,23:59,Qingyuan,12,0
29/02/2020,23:59,Jieyang,8,0
29/02/2020,23:59,Heyuan,4,0
29/02/2020,23:59,Jiangmen,23,0
29/02/2020,23:59,Maoming,14,0
29/02/2020,23:59,Chaozhou,5,0
01/03/2020,23:59,Guangzhou,346,1
01/03/2020,23:59,Shenzhen,418,3
01/03/2020,23:59,Zhuhai,98,1
01/03/2020,23:59,Shantou,25,0
01/03/2020,23:59,Foshan,84,0
01/03/2020,23:59,Shaoguan,10,0
01/03/2020,23:59,Meizhou,16,0
01/03/2020,23:59,Huizhou,62,0
01/03/2020,23:59,Shanwei,5,0
01/03/2020,23:59,Dongguan,99,1
01/03/2020,23:59,Zhongshan,66,0
01/03/2020,23:59,Yangjiang,14,0
01/03/2020,23:59,Zhanjiang,22,0
01/03/2020,23:59,Zhaoqing,19,1
01/03/2020,23:59,Qingyuan,12,0
01/03/2020,23:59,Jieyang,8,0
01/03/2020,23:59,Heyuan,4,0
01/03/2020,23:59,Jiangmen,23,0
01/03/2020,23:59,Maoming,14,0
01/03/2020,23:59,Chaozhou,5,0
02/03/2020,23:59,Guangzhou,346,1
02/03/2020,23:59,Shenzhen,418,3
02/03/2020,23:59,Zhuhai,98,1
02/03/2020,23:59,Shantou,25,0
02/03/2020,23:59,Foshan,84,0
02/03/2020,23:59,Shaoguan,10,0
02/03/2020,23:59,Meizhou,16,0
02/03/2020,23:59,Huizhou,62,0
02/03/2020,23:59,Shanwei,5,0
02/03/2020,23:59,Dongguan,99,1
02/03/2020,23:59,Zhongshan,66,0
02/03/2020,23:59,Yangjiang,14,0
02/03/2020,23:59,Zhanjiang,22,0
02/03/2020,23:59,Zhaoqing,19,1
02/03/2020,23:59,Qingyuan,12,0
02/03/2020,23:59,Jieyang,8,0
02/03/2020,23:59,Heyuan,4,0
02/03/2020,23:59,Jiangmen,23,0
02/03/2020,23:59,Maoming,14,0
02/03/2020,23:59,Chaozhou,5,0
03/03/2020,23:59,Guangzhou,346,1
03/03/2020,23:59,Shenzhen,418,3
03/03/2020,23:59,Zhuhai,98,1
03/03/2020,23:59,Shantou,25,0
03/03/2020,23:59,Foshan,84,0
