更新日期,更新時間,地區,個案數目,死亡個案
05/02/2020,23:59,廣州,255,
05/02/2020,23:59,深圳,314,
05/02/2020,23:59,珠海,73,
05/02/2020,23:59,汕頭,20,
05/02/2020,23:59,佛山,50,
05/02/2020,23:59,韶關,6,
05/02/2020,23:59,梅州,12,
05/02/2020,23:59,惠州,35,
05/02/2020,23:59,汕尾,5,
05/02/2020,23:59,東莞,47,
05/02/2020,23:59,中山,44,
05/02/2020,23:59,陽江,13,
05/02/2020,23:59,湛江,19,
05/02/2020,23:59,肇慶,13,
05/02/2020,23:59,清遠,10,
05/02/2020,23:59,揭陽,7,
05/02/2020,23:59,河源,1,
05/02/2020,23:59,江門,9,
05/02/2020,23:59,茂名,6,
05/02/2020,23:59,潮州,5,
06/02/2020,12:00,廣州,270,
06/02/2020,12:00,深圳,316,
06/02/2020,12:00,珠海,73,
06/02/2020,12:00,汕頭,21,
06/02/2020,12:00,佛山,57,
06/02/2020,12:00,韶關,6,
06/02/2020,12:00,梅州,12,
06/02/2020,12:00,惠州,35,
06/02/2020,12:00,汕尾,5,
06/02/2020,12:00,東莞,47,
06/02/2020,12:00,中山,44,
06/02/2020,12:00,陽江,13,
06/02/2020,12:00,湛江,19,
06/02/2020,12:00,肇慶,14,
06/02/2020,12:00,清遠,10,
06/02/2020,12:00,揭陽,7,
06/02/2020,12:00,河源,1,
06/02/2020,12:00,江門,9,
06/02/2020,12:00,茂名,6,
06/02/2020,12:00,潮州,5,
06/02/2020,23:59,廣州,284,
06/02/2020,23:59,深圳,334,
06/02/2020,23:59,珠海,73,
06/02/2020,23:59,汕頭,22,
06/02/2020,23:59,佛山,57,
06/02/2020,23:59,韶關,6,
06/02/2020,23:59,梅州,12,
06/02/2020,23:59,惠州,39,
06/02/2020,23:59,汕尾,5,
06/02/2020,23:59,東莞,53,
06/02/2020,23:59,中山,46,
06/02/2020,23:59,陽江,13,
06/02/2020,23:59,湛江,19,
06/02/2020,23:59,肇慶,14,
06/02/2020,23:59,清遠,10,
06/02/2020,23:59,揭陽,7,
06/02/2020,23:59,河源,2,
06/02/2020,23:59,江門,11,
06/02/2020,23:59,茂名,6,
06/02/2020,23:59,潮州,5,
07/02/2020,12:00,廣州,285,
07/02/2020,12:00,深圳,339,
07/02/2020,12:00,珠海,76,
07/02/2020,12:00,汕頭,22,
07/02/2020,12:00,佛山,59,
07/02/2020,12:00,韶關,6,
07/02/2020,12:00,梅州,12,
07/02/2020,12:00,惠州,39,
07/02/2020,12:00,汕尾,5,
07/02/2020,12:00,東莞,53,
07/02/2020,12:00,中山,46,
07/02/2020,12:00,陽江,13,
07/02/2020,12:00,湛江,20,
07/02/2020,12:00,肇慶,14,
07/02/2020,12:00,清遠,10,
07/02/2020,12:00,揭陽,7,
07/02/2020,12:00,河源,3,
07/02/2020,12:00,江門,14,
07/02/2020,12:00,茂名,6,
07/02/2020,12:00,潮州,5,
07/02/2020,23:59,廣州,298,
07/02/2020,23:59,深圳,351,
07/02/2020,23:59,珠海,82,
07/02/2020,23:59,汕頭,25,
07/02/2020,23:59,佛山,60,
07/02/2020,23:59,韶關,6,
07/02/2020,23:59,梅州,13,
07/02/2020,23:59,惠州,41,
07/02/2020,23:59,汕尾,5,
07/02/2020,23:59,東莞,56,
07/02/2020,23:59,中山,46,
07/02/2020,23:59,陽江,13,
07/02/2020,23:59,湛江,20,
07/02/2020,23:59,肇慶,14,
07/02/2020,23:59,清遠,10,
07/02/2020,23:59,揭陽,7,
07/02/2020,23:59,河源,3,
07/02/2020,23:59,江門,14,
07/02/2020,23:59,茂名,6,
07/02/2020,23:59,潮州,5,
08/02/2020,12:00,廣州,301,
08/02/2020,12:00,深圳,354,
08/02/2020,12:00,珠海,83,
08/02/2020,12:00,汕頭,25,
08/02/2020,12:00,佛山,64,
08/02/2020,12:00,韶關,6,
08/02/2020,12:00,梅州,13,
08/02/2020,12:00,惠州,47,
08/02/2020,12:00,汕尾,5,
08/02/2020,12:00,東莞,56,
08/02/2020,12:00,中山,46,
08/02/2020,12:00,陽江,13,
08/02/2020,12:00,湛江,20,
08/02/2020,12:00,肇慶,14,
08/02/2020,12:00,清遠,10,
08/02/2020,12:00,揭陽,7,
08/02/2020,12:00,河源,3,
08/02/2020,12:00,江門,15,
08/02/2020,12:00,茂名,8,
08/02/2020,12:00,潮州,5,
08/02/2020,23:59,廣州,304,
08/02/2020,23:59,深圳,364,
08/02/2020,23:59,珠海,83,
08/02/2020,23:59,汕頭,25,
