As of date,As of time,Areas,Cumulative number of cases,Number of new cases,Shincheonji Church of Jesus,Cheongdo-gun Daenam Hospital related,Imported cases,Others,With epidemiological linkage to a cluster or known confirmed case,Others##
12/03/2020,0:00,Gyeongnam,85,1,,,,,63,22
12/03/2020,0:00,Jeju,4,0,,,,,0,4
13/03/2020,0:00,Seoul,225,13,,,,,170,55
13/03/2020,0:00,Busan,100,1,,,,,70,30
13/03/2020,0:00,Daegu,5928,61,,,,,4838,1090
13/03/2020,0:00,Incheon,27,2,,,,,24,3
13/03/2020,0:00,Gwangju,15,0,,,,,10,5
13/03/2020,0:00,Daejeon,22,2,,,,,12,10
13/03/2020,0:00,Ulsan,27,2,,,,,19,8
13/03/2020,0:00,Sejong,32,17,,,,,29,3
13/03/2020,0:00,Gyeonggi,185,7,,,,,143,42
13/03/2020,0:00,Gangwon,29,0,,,,,19,10
13/03/2020,0:00,Chungbuk,27,0,,,,,25,2
13/03/2020,0:00,Chungnam,115,1,,,,,112,3
13/03/2020,0:00,Cheonbuk,7,0,,,,,4,3
13/03/2020,0:00,Cheonnam,4,0,,,,,3,1
13/03/2020,0:00,Gyeongbuk,1147,4,,,,,829,318
13/03/2020,0:00,Gyeongnam,85,0,,,,,63,22
13/03/2020,0:00,Jeju,4,0,,,,,0,4
14/03/2020,0:00,Seoul,238,13,,,,,177,61
14/03/2020,0:00,Busan,103,3,,,,,72,31
14/03/2020,0:00,Daegu,5990,62,,,,,4974,1016
14/03/2020,0:00,Incheon,28,1,,,,,25,3
14/03/2020,0:00,Gwangju,15,0,,,,,10,5
14/03/2020,0:00,Daejeon,22,0,,,,,12,10
14/03/2020,0:00,Ulsan,27,0,,,,,19,8
14/03/2020,0:00,Sejong,38,6,,,,,35,3
14/03/2020,0:00,Gyeonggi,200,15,,,,,156,44
14/03/2020,0:00,Gangwon,29,0,,,,,21,8
14/03/2020,0:00,Chungbuk,28,1,,,,,25,3
14/03/2020,0:00,Chungnam,115,0,,,,,112,3
14/03/2020,0:00,Cheonbuk,7,0,,,,,4,3
14/03/2020,0:00,Cheonnam,4,0,,,,,3,1
14/03/2020,0:00,Gyeongbuk,1153,6,,,,,841,312
14/03/2020,0:00,Gyeongnam,85,0,,,,,66,19
14/03/2020,0:00,Jeju,4,0,,,,,0,4
15/03/2020,0:00,Seoul,247,9,,,,,183,64
15/03/2020,0:00,Busan,106,3,,,,,74,32
15/03/2020,0:00,Daegu,6031,41,,,,,4990,1041
15/03/2020,0:00,Incheon,30,2,,,,,25,5
15/03/2020,0:00,Gwangju,16,1,,,,,10,6
15/03/2020,0:00,Daejeon,22,0,,,,,12,10
15/03/2020,0:00,Ulsan,28,1,,,,,22,6
15/03/2020,0:00,Sejong,39,1,,,,,36,3
15/03/2020,0:00,Gyeonggi,211,11,,,,,167,44
15/03/2020,0:00,Gangwon,29,0,,,,,21,8
15/03/2020,0:00,Chungbuk,31,3,,,,,27,4
15/03/2020,0:00,Chungnam,115,0,,,,,112,3
15/03/2020,0:00,Cheonbuk,7,0,,,,,4,3
15/03/2020,0:00,Cheonnam,4,0,,,,,3,1
15/03/2020,0:00,Gyeongbuk,1157,4,,,,,841,316
15/03/2020,0:00,Gyeongnam,85,0,,,,,66,19
15/03/2020,0:00,Jeju,4,0,,,,,0,4
16/03/2020,0:00,Seoul,253,6,,,,,188,65
16/03/2020,0:00,Busan,107,1,,,,,75,32
16/03/2020,0:00,Daegu,6066,35,,,,,5010,1056
16/03/2020,0:00,Incheon,30,0,,,,,26,4
16/03/2020,0:00,Gwangju,16,0,,,,,14,2
16/03/2020,0:00,Daejeon,22,0,,,,,12,10
16/03/2020,0:00,Ulsan,28,0,,,,,22,6
16/03/2020,0:00,Sejong,40,1,,,,,37,3
16/03/2020,0:00,Gyeonggi,231,20,,,,,184,47
16/03/2020,0:00,Gangwon,29,0,,,,,21,8
16/03/2020,0:00,Chungbuk,31,0,,,,,27,4
16/03/2020,0:00,Chungnam,115,0,,,,,112,3
16/03/2020,0:00,Cheonbuk,7,0,,,,,4,3
16/03/2020,0:00,Cheonnam,4,0,,,,,3,1
16/03/2020,0:00,Gyeongbuk,1164,7,,,,,842,322
16/03/2020,0:00,Gyeongnam,85,0,,,,,66,19
16/03/2020,0:00,Jeju,4,0,,,,,0,4
16/03/2020,0:00,Quarantine,4,4,,,,,4,0
17/03/2020,0:00,Seoul,265,12,,,,,196,69
17/03/2020,0:00,Busan,107,0,,,,,75,32
17/03/2020,0:00,Daegu,6098,32,,,,,5021,1077
17/03/2020,0:00,Incheon,31,1,,,,,27,4
17/03/2020,0:00,Gwangju,16,0,,,,,14,2
17/03/2020,0:00,Daejeon,22,0,,,,,12,10
17/03/2020,0:00,Ulsan,28,0,,,,,22,6
17/03/2020,0:00,Sejong,40,0,,,,,37,3
17/03/2020,0:00,Gyeonggi,262,31,,,,,214,48
17/03/2020,0:00,Gangwon,29,0,,,,,21,8
17/03/2020,0:00,Chungbuk,31,0,,,,,27,4
17/03/2020,0:00,Chungnam,115,0,,,,,112,3
17/03/2020,0:00,Cheonbuk,7,0,,,,,4,3
17/03/2020,0:00,Cheonnam,4,0,,,,,3,1
17/03/2020,0:00,Gyeongbuk,1169,5,,,,,848,321
17/03/2020,0:00,Gyeongnam,86,1,,,,,66,20
17/03/2020,0:00,Jeju,4,0,,,,,0,4
17/03/2020,0:00,Quarantine,6,2,,,,,6,0
18/03/2020,0:00,Seoul,270,5,,,,,203,67
18/03/2020,0:00,Busan,107,0,,,,,75,32
18/03/2020,0:00,Daegu,6144,46,,,,,5026,1118
18/03/2020,0:00,Incheon,32,1,,,,,27,5
18/03/2020,0:00,Gwangju,17,1,,,,,14,3
18/03/2020,0:00,Daejeon,22,0,,,,,12,10
18/03/2020,0:00,Ulsan,30,2,,,,,23,7
18/03/2020,0:00,Sejong,41,1,,,,,38,3
18/03/2020,0:00,Gyeonggi,277,15,,,,,227,50
18/03/2020,0:00,Gangwon,30,1,,,,,21,9
18/03/2020,0:00,Chungbuk,32,1,,,,,28,4
18/03/2020,0:00,Chungnam,118,3,,,,,112,6
18/03/2020,0:00,Cheonbuk,9,2,,,,,4,5
18/03/2020,0:00,Cheonnam,5,1,,,,,4,1
18/03/2020,0:00,Gyeongbuk,1178,9,,,,,850,328
18/03/2020,0:00,Gyeongnam,86,0,,,,,70,16
18/03/2020,0:00,Jeju,4,0,,,,,0,4
18/03/2020,0:00,Quarantine,11,5,,,,,11,0
19/03/2020,0:00,Seoul,282,12,,,,,208,74
19/03/2020,0:00,Busan,107,0,,,,,78,29
19/03/2020,0:00,Daegu,6241,97,,,,,5157,1084
19/03/2020,0:00,Incheon,32,0,,,,,27,5
19/03/2020,0:00,Gwangju,17,0,,,,,14,3
19/03/2020,0:00,Daejeon,22,0,,,,,12,10
19/03/2020,0:00,Ulsan,36,6,,,,,26,10
19/03/2020,0:00,Sejong,41,0,,,,,38,3
19/03/2020,0:00,Gyeonggi,295,18,,,,,243,52
19/03/2020,0:00,Gangwon,30,0,,,,,21,9
19/03/2020,0:00,Chungbuk,33,1,,,,,29,4
